,Respondent,Geographic Areas,State,Number of Customers Affected,Outage Start,Outage End
707,"Mesquite Power, LLC","Phoenix, Arizona",AZ ,,2011-04-28 16:09:00,2011-04-28 16:10:00
708,Tennessee Valley Authority,"Alabama, Georgia, Mississippi, Tennessee",AL GA MS TN ,612000.0,2011-04-27 10:00:00,2011-04-29 16:29:00
709,Southern Company,"Alabama, Florida, Georgia, Mississippi",AL FL GA MS ,426640.0,2011-04-27 08:00:00,2011-05-02 16:03:00
710,American Electric Power,"Ohio, Tennessee, Virginia",OH TN VA ,69000.0,2011-04-27 22:00:00,2011-04-28 10:00:00
711,West Memphis Utilities,Eastern Arkansas,AR ,13000.0,2011-04-26 18:14:00,2011-04-28 17:00:00
712,PacifiCorp,"Salt Lake City, Utah",UT ,0.0,2011-04-26 13:04:00,2011-04-26 14:00:00
713,Entergy Corporation,Southern Louisiana,LA ,,2011-04-26 05:49:00,2011-04-27 09:59:00
714,Tennessee Valley Authority,"Alabama, Georgia, Mississippi, Tennessee",AL GA MS TN ,55000.0,2011-04-26 09:51:00,2011-04-28 09:51:00
715,Entergy Corporation,"Arkansas, Louisiana, Mississippi",AR LA MS ,141700.0,2011-04-25 17:30:00,2011-04-27 18:00:00
716,Tennessee Valley Authority,Northeast Tennessee,TN ,,2011-04-25 16:33:00,2011-04-25 17:19:00
717,Ameren,"Metro St. Louis area, Missouri",MO ,55000.0,2011-04-22 21:00:00,2011-04-22 23:00:00
718,ITC Holdings,"Trenton, Michigan",MI ,,2011-04-21 19:00:00,2011-04-29 19:05:00
719,PacifiCorp,"Oquirrh Substation, Salt Lake City, Utah",UT ,0.0,2011-04-21 07:15:00,2011-04-21 16:50:00
720,Duke Energy Midwest,"Indiana, Kentucky, Ohio",IN KY OH ,165711.0,2011-04-20 02:00:00,2011-04-21 12:00:00
721,City of Ruston & Constellation Energy,"Ruston, Louisiana",LA ,11000.0,2011-04-20 08:07:00,2011-04-20 08:14:00
722,Ameren Illinois,Illinois,IL ,80000.0,2011-04-19 20:00:00,2011-04-19 22:00:00
723,Constellation Energy Control and Dispatch,"Osceola, Arkansas",AR ,,2011-04-19 23:13:00,2011-04-20 19:14:00
724,Tennessee Valley Authority,"Memphis, Tennessee",TN ,105000.0,2011-04-19 23:02:00,2011-04-21 17:32:00
725,Tacoma Power Water Rail (TPWR),"Graham, Washington",WA ,0.0,2011-04-19 14:01:00,2011-04-19 16:04:00
726,Memphis Light Gas and Water Division,"Memphis, Tennessee",TN ,64000.0,2011-04-19 22:44:00,2011-04-20 02:00:00
727,Progress Energy Carolinas Inc,Central and Eastern North Carolina,NC ,220000.0,2011-04-16 14:16:00,2011-04-17 16:30:00
728,PacifiCorp,"Salt Lake City, Utah",UT ,0.0,2011-04-11 17:40:00,2011-04-11 17:51:00
729,Delmarva Power & Light Company,"Felton, Delaware",DE ,0.0,2011-04-06 10:50:00,2011-04-06 10:50:00
730,Duke Energy Carolinas,"North Carolina, South Carolina",NC SC ,256000.0,2011-04-05 02:00:00,2011-04-07 23:00:00
731,Southern Company,"Alabama, Florida, Georgia, Mississippi",AL FL GA MS ,303434.0,2011-04-04 21:00:00,2011-04-05 23:30:00
732,Entergy Corporation,"Southeast Arkansas, Southeast Louisiana, Western Mississippi, Eastern Texas",AR LA MS TX ,74645.0,2011-04-04 19:00:00,2011-04-05 20:00:00
733,American Electric Power (AEP),"Kentucky, West Virginia",KY WV ,52920.0,2011-04-04 19:00:00,2011-04-05 12:00:00
734,Tennessee Valley Authority,"Davidson County, Tennessee",TN ,73000.0,2011-04-04 14:00:00,2011-04-08 00:01:00
735,Tennessee Valley Authority,"Memphis, Tennessee",TN ,63000.0,2011-04-04 11:47:00,2011-04-08 00:01:00
736,Memphis Light Gas and Water Division,"Shelby County, Tennessee",TN ,63000.0,2011-04-04 13:00:00,2011-04-05 00:00:00
737,Entergy Corporation,Unknown,,0.0,2011-04-03 20:23:00,2011-04-05 15:00:00
738,Progress Energy Florida (PEF),Central and Western Florida,FL FL ,50000.0,2011-03-31 14:30:00,2011-04-01 23:59:00
739,Tampa Electric Company,"Greater Tampa Bay, Florida",FL ,87000.0,2011-03-31 11:30:00,2011-03-31 20:30:00
740,Pacific Gas and Electric,"Sonoma and Central Valley, California",CA ,165000.0,2011-03-27 13:27:00,2011-03-27 17:00:00
741,American Electric Power - AEP,"Indiana. Kentucky, Michigan, Ohio, Tennessee, Virginia, West Virginia",IN KY MI OH TN VA WV ,60596.0,2011-03-23 18:30:00,2011-03-24 04:55:00
742,Southern California Edison Company (SCE),Southern California,CA CA ,54332.0,2011-03-21 12:35:00,2011-03-21 14:45:00
743,ISO New England,"Deerfield, New Hampshire",NH ,,2011-03-21 00:57:00,2011-03-21 02:29:00
744,Los Angeles Department of Water and Power,"Los Angeles, California",CA CA ,79000.0,2011-03-20 09:44:00,2011-03-21 10:00:00
745,Pacific Gas and Electric,Northern and Central California,CA ,128000.0,2011-03-19 23:56:00,2011-03-24 19:10:00
746,Dayton Power & Light,"Greene County, Ohio",OH ,,2011-03-18 09:54:00,2011-03-18 15:34:00
747,ISO New England,"Deerfield, New Hampshire",NH ,,2011-03-17 07:40:00,2011-03-17 11:00:00
