Screen Name,Status ID,Text,Local Timestamp,Likes,Retweets,State
511NY,1.1518703209925837e+17,"Ex ramp closed on NY 17 east at ex 68 - Pearl St; Ramp due to storm damage until 6:00PM, 09/23/11.",5:15 PM - 17 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
topix_ny,1.144420995245097e+17,Bethel Residents Seek School Supplies to Aid in Tropical Storm Lee Aftermath - http://bit.ly/qfi0j2  #Owego #NewYork,3:54 PM - 15 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
JinWJung,1.1443805983934054e+17,@Cytokine_Storm brings football too and NBA camp #unlesslockoutcontinues,3:38 PM - 15 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
511nyBinghamton,1.1320904100152934e+17,"Closed to traffic, downed power lines on NY 206 in both directions from East Main St; NY 26; START Rte NY 206; Hickor...http://bit.ly/7dFGS5",6:15 AM - 12 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",MA
511NY,1.1320902650181222e+17,"Closed to traffic, downed power lines on NY 206 in both directions from East Main St; NY 26; START Rte NY 206; Hickor...http://bit.ly/5Xuc69",6:15 AM - 12 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
511nyBinghamton,1.1304668493370163e+17,"Reduced to one lane, storm damage on I-88 west from ex 3 - NY 7B to START Rte I-88; ex   - I-81 until 7:00PM, 09/15/11.",7:30 PM - 11 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",MA
511NY,1.1304668283653734e+17,"Reduced to one lane, storm damage on I-88 west from ex 3 - NY 7B to START Rte I-88; ex   - I-81 until 7:00PM, 09/15/11.",7:30 PM - 11 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
511nyBinghamton,1.1293347975437926e+17,"Rht lane closed on I-81 south from ex 6 S-N- US 11; Ramp to Castle Creek Rd; Ramp due to storm damage until 12:00PM, 09/16/11.",12:00 PM - 11 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",MA
511NY,1.1293346350144307e+17,"Rht lane closed on I-81 south from ex 6 S-N- US 11; Ramp to Castle Creek Rd; Ramp due to storm damage until 12:00PM, 09/16/11.",12:00 PM - 11 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
511nyBinghamton,1.1288062615525786e+17,"Reduced to one lane on I-81 north at ex 7 - US 11 due to storm damage until 7:00PM, 09/15/11.",8:30 AM - 11 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",MA
